#JOUR;#JOUR
V/. Deus, in adiutórium meum inténde. ;V/. Dieu, viens à mon aide. 
R/. Dómine, ad adiuvándum me festína.;R/. Seigneur, vite à mon secours.
Gloria Patri, et Fílio, * et Spirítui Sancto. ;Gloire au Père, au Fils et au Saint Esprit.
Sicut erat in principio, et nunc et semper * et in sæcula sæculórum. Amen.;Comme il était au commencement, maintenant et toujours, et dans les siècles des siècles. Amen.
Allelúia.;Alléluia.
#HYMNUS_sextam;
<h2>Psalmodia</h2>;<h2>Psalmodie</h2>
#ANT2;#ANT2
#PS1;#PS1
Gloria Patri, et Fílio, * et Spirítui Sancto. ;Gloire au Père, au Fils et au Saint Esprit.
Sicut erat in principio, et nunc et semper * et in sæcula sæculórum. Amen.;Comme il était au commencement, maintenant et toujours, et dans les siècles des siècles. Amen.
#PS2;#PS2
Gloria Patri, et Fílio, * et Spirítui Sancto. ;Gloire au Père, au Fils et au Saint Esprit.
Sicut erat in principio, et nunc et semper * et in sæcula sæculórum. Amen.;Comme il était au commencement, maintenant et toujours, et dans les siècles des siècles. Amen.
#PS3;#PS3
Gloria Patri, et Fílio, * et Spirítui Sancto. ;Gloire au Père, au Fils et au Saint Esprit.
Sicut erat in principio, et nunc et semper * et in sæcula sæculórum. Amen.;Comme il était au commencement, maintenant et toujours, et dans les siècles des siècles. Amen.
#ANT2;#ANT2
#LB_6;#LB
#RB_6;
#ORATIO_6;
R/. Amen.;R/. Amen.
<h5>Deinde, saltem in celebratione communi, additur acclamatio:</h5>;<h5>Ensuite, dans la célébration commune, on ajoute l’acclamation :</h5>
Benedicámus Dómino. ;Bénissons le Seigneur.
R/. Deo grátias.;R/. Nous rendons grâces à Dieu.
