Psalmus 9A (9);Psaume 9A (9)
Gratiarum Action por Victoria;Action de grâces après la victoire
Iterum venturus est iudicare vicos et mortuos;Il reviendra pour juger les vivants & les morts.
;
Confitebor tibi, Domine, in toto corde meo, * narrabo omnia mirabilia tua.;Je louerai le Seigneur de tout mon coeur, je raconterai toutes tes merveilles.
Laetabor et exsultabo in te, * psallam nomini tuo, Altissime.;Je me réjouirai et je tressaillerai en toi, je chanterai ton nom, ô Très-Haut.
Cum convertuntur inimici mei retrorsum, * infirmantur et pereunt a facie tua.;Mes ennemis reculent, ils trébuchent et tombent devant ta face.
Quoniam fecisti iudicium meum et causam meam, * sedisti super thronum, qui iudicas iustitiam.;Car tu as fait triompher mon droit et ma cause, tu t'es assis sur ton trône en juste juge.
"Increpasti gentes, perdidisti impium; * nomen eorum delesti in aeternum et in saeculum saeculi.";Tu as châtié les nations, tu as fait périr l'impie, tu as effacé leur nom pour toujours et à jamais.
"Inimici defecerunt, solitudines sempiternae factae sunt; +  et civitates destruxisti: * periit memoria eorum cum ipsis.";L'ennemi est anéanti! Des ruines pour toujours! Des villes que tu as renversées! Leur souvenir a disparu!
"Dominus autem in aeternum sedebit, * paravit in iudicium thronum suum;";Mais le Seigneur siège à jamais, il a dressé son trône pour le jugement.
et ipse iudicabit orbem terrae in iustitia, * iudicabit populos in aequitate.;Il juge le monde avec justice, il juge les peuples avec droiture.
Et erit Dominus refugium oppresso, * refugium in opportunitatibus, in tribulatione.;Et le Seigneur est un refuge pour l'opprimé, un refuge au temps de la détresse.
Et sperent in te, qui noverunt nomen tuum, * quoniam non dereliquisti quaerentes te, Domine.;"En toi se confient tous ceux qui connaissent ton nom; car tu ne délaisses pas ceux qui te cherchent, seigneur."
"Psallite Domino, qui habitat in Sion; * annuntiate inter gentes studia eius.";Chantez au Seigneur, qui réside en Sion, publiez parmi les peuples ses hauts faits.
Quoniam requirens sanguinem recordatus est eorum, * non est oblitus clamorem pauperum.;Car celui qui redemande le sang versé s'en est souvenu, il n'a point oublié le cri des affligés.
"Miserere mei, Domine; + vide afflictionem meam de inimicis meis, * qui exaltas me de portis mortis,";" Aie pitié de moi, Seigneur, disaient-ils; vois l'affliction où m'ont réduit mes ennemis, toi qui me retires des portes de la mort,
"
ut annuntiem omnes laudationes tuas in portis filiae Sion, * exsultem in salutari tuo.;afin que je puisse raconter toutes les louanges, aux portes de la fille de Sion, tressaillir de joie à cause de ton salut. 
"Infixae sunt gentes in fovea, quam fecerunt; + in laqueo isto, quem absconderunt, * comprehensus est pes eorum.";Les nations sont tombées dans la fosse qu'elles ont creusée, dans le lacet qu'elles ont caché s'est pris leur pied.
"Manifestavit se Dominus iudicium faciens; * in operibus manuum suarum comprehensus est peccator.";Le Seigneur s'est montré, il a exercé le jugement, dans l'oeuvre de ses mains il a enlacé l'impie.
Convertentur peccatores in infernum, * omnes gentes, quae obliviscuntur Deum.;Les impies retournent au schéol, toutes les nations qui oublient Dieu.
"Quoniam non in finem oblivio erit pauperis; * exspectatio pauperum non peribit in aeternum.";Car le malheureux n'est pas toujours oublié, l'espérance des affligés ne périt pas à jamais.
"Exsurge, Domine, non confortetur homo; * iudicentur gentes in conspectu tuo.";Lève-toi, Seigneur ! Que l'homme ne triomphe pas! Que les nations soient jugées devant ta face!
"Constitue, Domine, terrorem super eos; * sciant gentes quoniam homines sunt.";"Répands sur elles l'épouvante, Seigneur ; que les peuples sachent qu'ils sont des hommes!"
